Date,Category,Description,Amount
2024-10-01 00:00:00,Food,Grocery,50.75
2024-10-02 00:00:00,Rent,Monthly Rent,1200.0
2024-10-02 00:00:00,Utilities,Electricity Bill,60.0
2024-10-03 00:00:00,Food,Dinner,30.0
2024-10-04 00:00:00,Transport,Bus Ticket,2.75
2024-10-05 00:00:00,Food,Breakfast,15.0
2024-10-06 00:00:00,Income,Salary,2000.0
2024-10-10 00:00:00,Income,Freelance Work,500.0
2024-10-12 00:00:00,Utilities,Water Bill,40.0
2024-10-15 00:00:00,Food,Lunch,25.0
2024-10-18 00:00:00,Transport,Taxi,25.0
2024-10-20 00:00:00,Income,Investment Return,200.0
2024-10-25 00:00:00,Food,Groceries,80.0
2024-10-28 00:00:00,Rent,Monthly Rent,1200.0
